City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,cockburn town,21.4612,-71.1419,26.57,77,7,5.52,TC,1683389622
131,pont rouge,48.8833,-72.0825,18.81,36,13,5.12,CA,1683389623
132,westport,41.1415,-73.3579,20.87,42,40,3.6,US,1683389623
133,denia,38.8408,0.1057,22.58,78,100,2.68,ES,1683389623
134,sandnessjoen,66.0217,12.6316,11.29,51,84,0.92,NO,1683389623
135,kalajoki,64.25,23.95,3.28,49,20,4.06,FI,1683389623
136,atafu village,-8.5421,-172.5159,28.96,73,3,7.32,TK,1683389623
137,villa gesell,-37.2639,-56.973,16.7,86,100,7.54,AR,1683389623
138,pullman,46.7313,-117.1796,10.13,87,100,2.24,US,1683388808
139,happy valley-goose bay,53.3168,-60.3315,8.58,40,56,1.88,CA,1683389624
140,ceska trebova,49.9044,16.4441,18.08,77,89,5.04,CZ,1683389624
141,nabire,-3.3667,135.4833,25.22,93,97,1.64,ID,1683389624
142,rancho palos verdes,33.7445,-118.387,17.51,79,17,1.79,US,1683389624
143,gadzhiyevo,69.2551,33.3362,1.44,97,100,3.08,RU,1683389624
144,manicore,-5.8092,-61.3003,26.93,86,58,1.13,BR,1683389625
145,khovd,48.0056,91.6419,2.68,97,100,2.24,MN,1683389625
146,warrnambool,-38.3833,142.4833,5.74,73,72,4.79,AU,1683389474
147,madang,-5.2246,145.7966,26.23,90,92,1.86,PG,1683389625
148,port elizabeth,-33.918,25.5701,18.51,89,93,3.13,ZA,1683389625
149,salaga,8.5508,-0.5188,36.81,31,73,2.27,GH,1683389625
150,gevas,38.2968,43.1083,13.78,59,84,2.31,TR,1683389625
151,kone,-21.0595,164.8658,20.43,90,8,1.19,NC,1683389626
152,port lincoln,-34.7333,135.8667,13.02,55,68,4.76,AU,1683389626
153,fale old settlement,-9.3852,-171.2468,28.98,72,6,6.02,TK,1683389626
154,palmas,-10.2128,-48.3603,32.93,55,75,2.57,BR,1683389627
155,ormara,25.2088,64.6357,27.96,73,0,6.44,PK,1683389627
156,stanley,54.868,-1.6985,16.77,83,99,4.27,GB,1683389568
157,sirte,31.2089,16.5887,20.33,56,0,5.77,LY,1683389627
158,nar'yan-mar,67.6713,53.087,-5.54,90,81,2.75,RU,1683389627
159,carnarvon,-24.8667,113.6333,22.17,69,15,5.0,AU,1683389628
160,nemuro,43.3236,145.575,2.81,81,100,3.66,JP,1683389628
161,aswan,24.0934,32.907,32.58,14,0,6.6,EG,1683389628
162,una,20.8167,71.0333,28.48,71,85,6.31,IN,1683389628
163,avarua,-21.2078,-159.775,25.03,100,20,0.51,CK,1683389628
164,puerto ayora,-0.7393,-90.3518,28.98,89,57,3.13,EC,1683389629
165,hobyo,5.3505,48.5268,28.5,76,100,10.25,SO,1683389629
166,jurilovca,44.7667,28.8667,20.05,55,24,6.23,RO,1683389629
167,villa emilio carranza,19.9667,-96.6,29.69,68,100,3.12,MX,1683389630
168,korsakov,46.6328,142.7813,-1.09,86,10,2.04,RU,1683389630
169,uturoa,-16.7333,-151.4333,27.7,78,97,8.8,PF,1683389630
170,susuman,62.7833,148.1667,-7.5,88,13,0.51,RU,1683389630
171,puerto lempira,15.2667,-83.7667,32.08,66,40,6.17,HN,1683389630
172,flying fish cove,-10.4217,105.6791,26.82,89,75,2.57,CX,1683389631
173,conduaga,8.862,117.4893,25.03,79,99,2.95,PH,1683389631
174,imbituba,-28.24,-48.6703,27.7,71,92,3.54,BR,1683389631
175,margaret river,-33.95,115.0667,16.37,54,97,4.9,AU,1683389631
176,gizo,-8.103,156.8419,27.98,78,76,3.35,SB,1683389632
177,khoyniki,51.8911,29.9552,8.95,45,43,2.89,BY,1683389632
178,tera,14.0078,0.7531,41.96,14,61,3.62,NE,1683389632
179,ust-nera,64.5667,143.2,-7.46,82,98,2.58,RU,1683389632
180,colonia,50.9333,6.95,18.31,81,20,1.54,DE,1683389600
181,springs,-26.25,28.4,19.26,77,76,2.68,ZA,1683389632
182,ola,59.5833,151.2833,-0.36,87,29,1.03,RU,1683389632
183,la cruz,23.9167,-106.9,30.0,31,93,2.35,MX,1683389633
184,tsetserleg,47.475,101.4542,5.0,41,100,1.39,MN,1683389633
185,oamaru,-45.0784,170.9801,9.1,90,72,3.03,NZ,1683389633
186,guerrero negro,27.9769,-114.0611,16.73,63,95,7.78,MX,1683389365
187,zuidhorn,53.2467,6.4028,17.25,55,75,3.6,NL,1683389633
188,pariaman,-0.619,100.12,24.47,96,100,4.62,ID,1683389626
189,sokcho,38.2083,128.5911,8.46,89,22,2.3,KR,1683389633
190,flin flon,54.7682,-101.865,12.67,47,39,4.89,CA,1683389634
191,ivanovskoye,44.5795,41.8764,17.58,72,98,3.58,RU,1683389634
192,kijang,35.2442,129.2139,13.01,90,100,8.91,KR,1683389634
193,bethanie,-26.4833,17.15,22.44,25,98,7.02,NA,1683389634
194,newman,37.3138,-121.0208,16.24,76,97,1.79,US,1683389634
195,pathein,16.7833,94.7333,29.11,76,5,5.66,MM,1683389634
196,caleta de carquin,-11.0925,-77.6267,23.61,77,65,3.94,PE,1683389634
197,ghadamis,30.1337,9.5007,34.89,10,31,2.59,LY,1683389635
198,hassi messaoud,31.6804,6.0729,38.85,8,100,6.06,DZ,1683389635
199,harper,4.375,-7.7169,29.17,75,62,2.94,LR,1683389635
200,letlhakane,-21.4167,25.5833,24.54,23,0,1.5,BW,1683389635
201,kununurra,-15.7667,128.7333,24.99,57,7,2.57,AU,1683389494
